entry_bar,exit_bar,pnl_pip,outcome,sl_pip,tp_pip,exit_kind,direction
225345,225349,-99.29999999999909,loss,160.52000000000058,160.52000000000058,0,long
225869,225873,-11.000000000002093,loss,160.52000000000058,160.52000000000058,0,long
225885,225889,4.499999999999727,win,160.52000000000058,160.52000000000058,0,long
225890,225894,-39.20000000000145,loss,160.52000000000058,160.52000000000058,0,long
225985,225989,-100.10000000000063,loss,160.52000000000058,160.52000000000058,0,long
226076,226080,-23.799999999999546,loss,160.52000000000058,160.52000000000058,0,long
226139,226143,99.00000000000018,win,160.52000000000058,160.52000000000058,0,long
226234,226238,48.80000000000037,win,160.52000000000058,160.52000000000058,0,long
226240,226244,36.29999999999809,win,160.52000000000058,160.52000000000058,0,long
226262,226266,8.700000000000454,win,160.52000000000058,160.52000000000058,0,long
226361,226365,13.499999999998362,win,160.52000000000058,160.52000000000058,0,long
226373,226377,-99.20000000000145,loss,160.52000000000058,160.52000000000058,0,long
226810,226814,19.599999999999635,win,160.52000000000058,160.52000000000058,0,long
226909,226913,-22.900000000000365,loss,160.52000000000058,160.52000000000058,0,long
226986,226990,10.700000000000909,win,160.52000000000058,160.52000000000058,0,long
227821,227825,-20.500000000000274,loss,160.52000000000058,160.52000000000058,0,long
227905,227909,17.099999999999635,win,160.52000000000058,160.52000000000058,0,long
227996,228000,-71.09999999999972,loss,160.52000000000058,160.52000000000058,0,long
228218,228222,-6.499999999999363,loss,160.52000000000058,160.52000000000058,0,long
228822,228826,-5.2000000000005455,loss,160.52000000000058,160.52000000000058,0,long
228990,228994,39.49999999999973,win,160.52000000000058,160.52000000000058,0,long
229276,229280,50.89999999999846,win,160.52000000000058,160.52000000000058,0,long
229459,229463,-53.599999999999724,loss,160.52000000000058,160.52000000000058,0,long
229502,229506,-2.999999999997999,loss,160.52000000000058,160.52000000000058,0,long
229531,229535,-87.10000000000109,loss,160.52000000000058,160.52000000000058,0,long
229581,229585,-28.49999999999982,loss,160.52000000000058,160.52000000000058,0,long
229586,229590,-5.700000000000091,loss,160.52000000000058,160.52000000000058,0,long
229816,229820,11.100000000000545,win,160.52000000000058,160.52000000000058,0,long
229840,229844,37.599999999999184,win,160.52000000000058,160.52000000000058,0,long
229976,229980,-41.79999999999909,loss,160.52000000000058,160.52000000000058,0,long
230068,230072,22.90000000000118,win,160.52000000000058,160.52000000000058,0,long
230163,230167,-20.300000000000455,loss,160.52000000000058,160.52000000000058,0,long
230256,230260,-111.49999999999936,loss,160.52000000000058,160.52000000000058,0,long
230344,230348,72.6999999999991,win,160.52000000000058,160.52000000000058,0,long
230435,230439,-77.10000000000109,loss,160.52000000000058,160.52000000000058,0,long
230524,230528,-163.8200000000006,loss,160.52000000000058,160.52000000000058,2,long
230709,230713,43.29999999999855,win,160.52000000000058,160.52000000000058,0,long
230801,230805,-7.7000000000005455,loss,160.52000000000058,160.52000000000058,0,long
231003,231007,72.799999999999,win,160.52000000000058,160.52000000000058,0,long
231070,231074,106.79999999999991,win,160.52000000000058,160.52000000000058,0,long
231169,231173,-0.09999999999836273,loss,160.52000000000058,160.52000000000058,0,long
231229,231233,-24.700000000001,loss,160.52000000000058,160.52000000000058,0,long
231439,231443,7.799999999999,win,160.52000000000058,160.52000000000058,0,long
231603,231607,66.89999999999982,win,160.52000000000058,160.52000000000058,0,long
231701,231705,64.49999999999973,win,160.52000000000058,160.52000000000058,0,long
231974,231978,55.299999999999,win,160.52000000000058,160.52000000000058,0,long
232032,232036,6.7,win,160.52000000000058,160.52000000000058,0,long
232058,232062,29.900000000001636,win,160.52000000000058,160.52000000000058,0,long
232655,232659,-15.8,loss,160.52000000000058,160.52000000000058,0,long
232789,232793,-96.09999999999972,loss,160.52000000000058,160.52000000000058,0,long
233052,233056,37.40000000000164,win,160.52000000000058,160.52000000000058,0,long
233143,233147,-17.800000000000455,loss,160.52000000000058,160.52000000000058,0,long
233237,233241,52.30000000000173,win,160.52000000000058,160.52000000000058,0,long
233326,233330,-47.00000000000118,loss,160.52000000000058,160.52000000000058,0,long
233510,233514,39.2,win,160.52000000000058,160.52000000000058,0,long
233597,233601,-27.800000000000455,loss,160.52000000000058,160.52000000000058,0,long
233670,233674,-9.500000000001183,loss,160.52000000000058,160.52000000000058,0,long
233969,233973,16.899999999999817,win,160.52000000000058,160.52000000000058,0,long
234054,234058,-22.800000000000455,loss,160.52000000000058,160.52000000000058,0,long
234144,234148,2.4000000000016373,win,160.52000000000058,160.52000000000058,0,long
234423,234427,-27.600000000000637,loss,160.52000000000058,160.52000000000058,0,long
234769,234771,157.22000000000057,win,160.52000000000058,160.52000000000058,1,long
234855,234859,25.50000000000109,win,160.52000000000058,160.52000000000058,0,long
234950,234954,-90.50000000000027,loss,160.52000000000058,160.52000000000058,0,long
